GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0021401059,2015-03-24,1610612757,1610612744,108,122,96,95,POR,GSW,Regular Season,2014-15,1610612744,Klay Thompson,25.2,2,,16,3,1,10,0.5,3,0.3333333333333333,2,1,0,0.6219512195121951
0021401089,2015-03-28,1610612749,1610612744,95,108,99,99,MIL,GSW,Regular Season,2014-15,1610612744,Klay Thompson,34.0666666666667,5,2,21,2,3,9,0.5555555555555556,8,0.375,4,1,0,0.5
0021401142,2015-04-04,1610612742,1610612744,110,123,106,107,DAL,GSW,Regular Season,2014-15,1610612744,Klay Thompson,27.6833333333333,3,2,21,2,4,7,0.2857142857142857,10,0.5,3,1,0,0.6097560975609756
0021401156,2015-04-07,1610612740,1610612744,103,100,98,98,NOP,GSW,Regular Season,2014-15,1610612740,Klay Thompson,30.05,3,4,7,2,2,5,0.2,5,0.2,1,0,0,0.5487804878048781
0021401111,2015-03-31,1610612746,1610612744,106,110,96,97,LAC,GSW,Regular Season,2014-15,1610612744,Klay Thompson,34.2333333333333,8,1,25,6,2,14,0.35714285714285715,7,0.42857142857142855,4,1,0,0.6829268292682927
0021401150,2015-04-05,1610612759,1610612744,107,92,95,94,SAS,GSW,Regular Season,2014-15,1610612759,Klay Thompson,24.0833333333333,,1,6,,1,8,0.375,3,,2,0,0,0.6707317073170732
0021400206,2014-11-25,1610612748,1610612744,97,114,92,92,MIA,GSW,Regular Season,2014-15,1610612744,Klay Thompson,38,4,3,24,1,5,12,0.5833333333333334,7,0.42857142857142855,3,1,0,0.45121951219512196
0021500120,2015-11-11,1610612763,1610612744,84,100,97,98,MEM,GSW,Regular Season,2015-16,1610612744,Klay Thompson,34.6166666666667,7,3,8,,3,4,0.25,5,0.4,2,1,0,0.5121951219512195
0021500125,2015-11-12,1610612750,1610612744,116,129,98,98,MIN,GSW,Regular Season,2015-16,1610612744,Klay Thompson,37.4166666666667,2,4,15,,1,7,0.42857142857142855,9,0.3333333333333333,2,1,0,0.35365853658536583
0021500177,2015-11-19,1610612746,1610612744,117,124,99,99,LAC,GSW,Regular Season,2015-16,1610612744,Klay Thompson,38.9833333333333,3,2,25,10,2,7,0.42857142857142855,5,0.6,2,1,0,0.6463414634146342
0021500236,2015-11-27,1610612756,1610612744,116,135,106,108,PHX,GSW,Regular Season,2015-16,1610612744,Klay Thompson,26.7666666666667,2,2,15,,4,3,1,8,0.375,,1,0,0.2804878048780488
0021500200,2015-11-22,1610612743,1610612744,105,118,104,103,DEN,GSW,Regular Season,2015-16,1610612744,Klay Thompson,31.6166666666667,3,1,21,3,2,9,0.3333333333333333,7,0.5714285714285714,7,1,0,0.4024390243902439
0021500259,2015-11-30,1610612762,1610612744,103,106,88,88,UTA,GSW,Regular Season,2015-16,1610612744,Klay Thompson,35.8,5,,20,,1,8,0.5,7,0.5714285714285714,2,1,0,0.4878048780487805
0021500300,2015-12-06,1610612751,1610612744,98,114,96,96,BKN,GSW,Regular Season,2015-16,1610612744,Klay Thompson,32.1833333333333,3,1,21,2,1,8,0.625,10,0.3,3,1,0,0.25609756097560976
0021500268,2015-12-02,1610612766,1610612744,99,116,100,100,CHA,GSW,Regular Season,2015-16,1610612744,Klay Thompson,29.1,3,2,21,1,3,8,0.5,10,0.4,,1,0,0.5853658536585366
0021500314,2015-12-08,1610612754,1610612744,123,131,105,105,IND,GSW,Regular Season,2015-16,1610612744,Klay Thompson,34.4833333333333,7,4,39,3,2,5,0.6,16,0.625,6,1,0,0.5487804878048781
0021500290,2015-12-05,1610612761,1610612744,109,112,92,92,TOR,GSW,Regular Season,2015-16,1610612744,Klay Thompson,35.4333333333333,4,2,26,6,4,6,0.16666666666666666,9,0.6666666666666666,1,1,0,0.6829268292682927
